model,input_size,num_procs,sample_size,m,branching_factor,index_time,search_time,recall,activation_rate
naive_dist,2000,1,-1,-1,1,2.44499,0.371038,0.6925,1
naive_dist,4000,2,-1,-1,2,2.52357,0.770108,0.7325,1
naive_dist,8000,4,-1,-1,4,3.78405,2.1758,0.713875,1
naive_dist,16000,8,-1,-1,8,3.64975,4.16381,0.750063,1
naive_dist,32000,16,-1,-1,16,3.24168,6.64868,0.78725,1
naive_dist,64000,32,-1,-1,32,5.05763,17.3635,0.809891,1
naive_dist,128000,64,-1,-1,64,7.34397,36.1525,0.827781,1
naive_dist,256000,128,-1,-1,128,12.6593,73.4271,0.838711,1
naive_dist,512000,256,-1,-1,256,24.0806,165.867,0.845949,1
naive_dist,1024000,512,-1,-1,512,48.4306,380.132,0.851999,1
pyramid_v1,2000,1,256,4,8,2.7759,0.346607,0.9735,1
pyramid_v1,4000,2,512,8,8,7.42229,0.890621,0.96425,1
pyramid_v1,8000,4,1024,16,8,15.3214,1.7934,0.986375,0.990031
pyramid_v1,16000,8,2048,32,8,32.1801,3.73814,0.995062,0.579727
pyramid_v1,32000,16,4096,64,8,44.3863,5.91378,0.9995,0.363232
pyramid_v1,64000,32,8192,128,8,56.7901,9.92423,0.999547,0.196601
pyramid_v1,128000,64,16384,256,8,157.975,22.7532,0.998625,0.105813
pyramid_v1,256000,128,32768,512,8,379.593,52.5144,0.989902,0.0515715
pyramid_v1,512000,256,65536,1024,8,1002.06,89.2182,0.971709,0.0268733
pyramid_v1,1024000,512,131072,2048,8,3941.74,194.49,0.929374,0.0139317
pyramid_v2,2000,1,256,4,8,3.02319,0.355887,0.9735,1
pyramid_v2,4000,2,512,8,8,4.88505,0.576891,0.96425,1
pyramid_v2,8000,4,1024,16,8,15.0868,1.64879,0.988,0.979969
pyramid_v2,16000,8,2048,32,8,24.6418,2.52585,0.997063,0.550547
pyramid_v2,32000,16,4096,64,8,44.5517,4.31158,0.999344,0.354221
pyramid_v2,64000,32,8192,128,8,70.4902,6.31091,0.999438,0.199687
pyramid_v2,128000,64,16384,256,8,129.608,12.5108,0.998109,0.0983749
pyramid_v2,256000,128,32768,512,8,278.338,13.3247,0.989637,0.0528222
pyramid_v2,512000,256,65536,1024,8,803.9,22.6462,0.97191,0.0269115
pyramid_v2,1024000,512,131072,2048,8,3519.99,31.134,0.928541,0.013699
